,t,o,h,l,c,v,symbol
0,1579617000,317.26,318.1,316.65,317.8,74087,AAPL
1,1579617900,317.69,318.85,317.69,318.18,27983,AAPL
2,1579618800,318.26,318.935,317.84,317.98,44983,AAPL
3,1579619700,317.955,318.06,317.1,317.725,153982,AAPL
4,1579620600,317.715,318.165,317.52,317.95,19416,AAPL
5,1579621500,317.87,317.9,317.34,317.35,23780,AAPL
6,1579622400,317.32,318.15,317.305,318.09,56046,AAPL
7,1579623300,318.13,318.59,318.13,318.46,12796,AAPL
8,1579624200,318.59,318.95,318.54,318.61,31151,AAPL
9,1579625100,318.645,318.7,318.32,318.48,15605,AAPL
10,1579626000,318.47,318.47,317.92,318.05,11125,AAPL
11,1579626900,318.14,318.33,317.9,318.23,9140,AAPL
12,1579627800,318.26,318.45,318.08,318.08,32473,AAPL
13,1579628700,318.01,318.13,317.845,317.96,17302,AAPL
14,1579629600,318.0,318.17,317.86,317.94,12269,AAPL
15,1579630500,317.92,317.92,317.24,317.69,16120,AAPL
16,1579631400,317.61,317.71,316.72,317.055,29691,AAPL
17,1579632300,317.025,317.17,316.45,316.56,23185,AAPL
18,1579633200,316.45,317.24,316.43,317.12,22063,AAPL
19,1579634100,317.03,317.15,316.41,316.59,31790,AAPL
20,1579635000,316.58,316.73,316.28,316.56,16664,AAPL
21,1579635900,316.57,316.99,316.31,316.87,12486,AAPL
22,1579636800,316.89,317.22,316.87,316.87,21065,AAPL
23,1579637700,316.89,317.0,316.64,316.88,8635,AAPL
24,1579638600,316.79,317.02,316.39,316.56,24755,AAPL
25,1579639500,316.54,316.73,316.02,316.59,54316,AAPL
0,1579617000,317.26,318.1,316.65,317.8,74087,AAPL
1,1579617900,317.69,318.85,317.69,318.18,27983,AAPL
2,1579618800,318.26,318.935,317.84,317.98,44983,AAPL
3,1579619700,317.955,318.06,317.1,317.725,153982,AAPL
4,1579620600,317.715,318.165,317.52,317.95,19416,AAPL
5,1579621500,317.87,317.9,317.34,317.35,23780,AAPL
6,1579622400,317.32,318.15,317.305,318.09,56046,AAPL
7,1579623300,318.13,318.59,318.13,318.46,12796,AAPL
8,1579624200,318.59,318.95,318.54,318.61,31151,AAPL
9,1579625100,318.645,318.7,318.32,318.48,15605,AAPL
10,1579626000,318.47,318.47,317.92,318.05,11125,AAPL
11,1579626900,318.14,318.33,317.9,318.23,9140,AAPL
12,1579627800,318.26,318.45,318.08,318.08,32473,AAPL
13,1579628700,318.01,318.13,317.845,317.96,17302,AAPL
14,1579629600,318.0,318.17,317.86,317.94,12269,AAPL
15,1579630500,317.92,317.92,317.24,317.69,16120,AAPL
16,1579631400,317.61,317.71,316.72,317.055,29691,AAPL
17,1579632300,317.025,317.17,316.45,316.56,23185,AAPL
18,1579633200,316.45,317.24,316.43,317.12,22063,AAPL
19,1579634100,317.03,317.15,316.41,316.59,31790,AAPL
20,1579635000,316.58,316.73,316.28,316.56,16664,AAPL
21,1579635900,316.57,316.99,316.31,316.87,12486,AAPL
22,1579636800,316.89,317.22,316.87,316.87,21065,AAPL
23,1579637700,316.89,317.0,316.64,316.88,8635,AAPL
24,1579638600,316.79,317.02,316.39,316.56,24755,AAPL
25,1579639500,316.54,316.73,316.02,316.59,54316,AAPL
0,1581336900,316.84,316.84,316.84,316.84,100,AAPL
1,1581342300,315.88,315.88,315.88,315.88,100,AAPL
2,1581344100,314.22,314.264,314.22,314.264,350,AAPL
3,1581345000,314.18,318.91,313.89,318.17,125341,AAPL
4,1581345900,318.12,318.55,316.78,318.29,55475,AAPL
5,1581346800,318.54,318.555,316.69,316.935,51720,AAPL
6,1581347700,316.875,318.325,316.875,318.22,30579,AAPL
7,1581348600,318.27,319.52,318.115,319.52,21582,AAPL
8,1581349500,319.61,319.99,318.75,318.935,20554,AAPL
9,1581350400,318.94,320.0,318.94,319.43,19299,AAPL
10,1581351300,319.38,320.2,319.25,319.75,21159,AAPL
11,1581352200,319.84,320.1,319.12,319.46,27953,AAPL
12,1581353100,319.55,319.905,318.9,318.9,13817,AAPL
13,1581354000,318.89,319.04,318.26,319.04,12292,AAPL
14,1581354900,318.98,319.22,318.63,319.21,9970,AAPL
15,1581355800,319.17,319.45,318.8,319.28,13963,AAPL
16,1581356700,319.39,319.44,319.01,319.38,10463,AAPL
17,1581357600,319.4,319.86,319.38,319.86,6422,AAPL
18,1581358500,319.79,319.955,319.64,319.685,6207,AAPL
19,1581359400,319.64,319.9,319.42,319.455,6930,AAPL
20,1581360300,319.51,319.7,319.3,319.425,10340,AAPL
21,1581361200,319.28,319.48,319.04,319.48,5910,AAPL
22,1581362100,319.5,319.95,319.5,319.835,7002,AAPL
23,1581363000,319.915,319.915,319.45,319.75,9009,AAPL
24,1581363900,319.75,320.74,319.72,320.74,53425,AAPL
25,1581364800,320.71,321.03,320.57,320.77,12135,AAPL
26,1581365700,320.975,321.305,320.56,321.27,22241,AAPL
27,1581366600,321.29,321.29,320.77,320.97,24139,AAPL
28,1581367500,320.99,321.53,320.58,321.5,67674,AAPL
0,1581336900,316.84,316.84,316.84,316.84,100,AAPL
1,1581342300,315.88,315.88,315.88,315.88,100,AAPL
2,1581344100,314.22,314.264,314.22,314.264,350,AAPL
3,1581345000,314.18,318.91,313.89,318.17,125341,AAPL
4,1581345900,318.12,318.55,316.78,318.29,55475,AAPL
5,1581346800,318.54,318.555,316.69,316.935,51720,AAPL
6,1581347700,316.875,318.325,316.875,318.22,30579,AAPL
7,1581348600,318.27,319.52,318.115,319.52,21582,AAPL
8,1581349500,319.61,319.99,318.75,318.935,20554,AAPL
9,1581350400,318.94,320.0,318.94,319.43,19299,AAPL
10,1581351300,319.38,320.2,319.25,319.75,21159,AAPL
11,1581352200,319.84,320.1,319.12,319.46,27953,AAPL
12,1581353100,319.55,319.905,318.9,318.9,13817,AAPL
13,1581354000,318.89,319.04,318.26,319.04,12292,AAPL
14,1581354900,318.98,319.22,318.63,319.21,9970,AAPL
15,1581355800,319.17,319.45,318.8,319.28,13963,AAPL
16,1581356700,319.39,319.44,319.01,319.38,10463,AAPL
17,1581357600,319.4,319.86,319.38,319.86,6422,AAPL
18,1581358500,319.79,319.955,319.64,319.685,6207,AAPL
19,1581359400,319.64,319.9,319.42,319.455,6930,AAPL
20,1581360300,319.51,319.7,319.3,319.425,10340,AAPL
21,1581361200,319.28,319.48,319.04,319.48,5910,AAPL
22,1581362100,319.5,319.95,319.5,319.835,7002,AAPL
23,1581363000,319.915,319.915,319.45,319.75,9009,AAPL
24,1581363900,319.75,320.74,319.72,320.74,53425,AAPL
25,1581364800,320.71,321.03,320.57,320.77,12135,AAPL
26,1581365700,320.975,321.305,320.56,321.27,22241,AAPL
27,1581366600,321.29,321.29,320.77,320.97,24139,AAPL
28,1581367500,320.99,321.53,320.58,321.5,67674,AAPL
0,1588245300,290.49,290.49,290.49,290.49,200,AAPL
1,1588247100,290.4,290.43,290.4,290.43,300,AAPL
2,1588248000,290.17,290.64,290.168,290.62,480,AAPL
3,1588249800,290.428,290.428,290.428,290.428,168,AAPL
4,1588250700,289.532,289.532,288.897,288.897,220,AAPL
5,1588251600,287.987,288.729,287.52,288.729,587,AAPL
6,1588252500,288.453,290.0,288.453,289.8,2768,AAPL
7,1588253400,289.85,291.24,288.42,291.24,63255,AAPL
8,1588254300,291.33,293.27,291.1,292.331,66086,AAPL
9,1588255200,292.335,292.95,291.14,291.435,28846,AAPL
10,1588256100,291.33,292.19,290.37,292.12,23612,AAPL
11,1588257000,292.16,292.28,290.35,290.51,17467,AAPL
12,1588257900,290.65,292.059,290.65,291.52,30012,AAPL
13,1588258800,291.58,292.419,291.58,291.71,8331,AAPL
14,1588259700,291.85,291.85,291.02,291.129,12799,AAPL
15,1588260600,291.135,291.259,290.53,291.23,8098,AAPL
16,1588261500,291.255,291.255,290.33,290.51,14060,AAPL
17,1588262400,290.219,290.369,288.91,289.94,31377,AAPL
18,1588263300,289.95,289.989,289.1,289.47,18412,AAPL
19,1588264200,289.33,289.97,288.79,289.66,18719,AAPL
20,1588265100,289.51,290.62,289.27,290.47,10093,AAPL
21,1588266000,290.32,290.81,289.93,290.72,9121,AAPL
22,1588266900,290.56,290.83,290.18,290.63,11511,AAPL
23,1588267800,290.63,291.15,290.47,290.889,15026,AAPL
24,1588268700,290.85,291.45,290.73,290.935,14341,AAPL
25,1588269600,290.99,291.2,290.4,290.97,16286,AAPL
26,1588270500,290.929,291.22,290.58,291.21,17464,AAPL
27,1588271400,291.17,291.615,290.75,291.45,24950,AAPL
28,1588272300,291.495,291.81,290.709,291.01,33742,AAPL
29,1588273200,291.005,291.75,290.935,291.53,523375,AAPL
30,1588274100,291.55,292.5,291.55,291.9,48880,AAPL
31,1588275000,292.065,292.33,291.07,291.165,46873,AAPL
32,1588275900,291.13,294.49,291.0,293.61,120759,AAPL
33,1588276800,290.94,292.36,290.94,291.98,300,AAPL
34,1588278600,297.34,301.35,287.94,289.35,68650,AAPL
35,1588279500,289.422,291.17,287.68,289.533,13723,AAPL
36,1588280400,287.86,289.736,287.86,288.69,2071,AAPL
37,1588281300,288.5,290.8,288.47,288.47,2538,AAPL
38,1588282200,289.0,289.0,289.0,289.0,100,AAPL
39,1588284000,285.01,285.51,285.01,285.51,784,AAPL
0,1588245300,290.49,290.49,290.49,290.49,200,AAPL
1,1588247100,290.4,290.43,290.4,290.43,300,AAPL
2,1588248000,290.17,290.64,290.168,290.62,480,AAPL
3,1588249800,290.428,290.428,290.428,290.428,168,AAPL
4,1588250700,289.532,289.532,288.897,288.897,220,AAPL
5,1588251600,287.987,288.729,287.52,288.729,587,AAPL
6,1588252500,288.453,290.0,288.453,289.8,2768,AAPL
7,1588253400,289.85,291.24,288.42,291.24,63255,AAPL
8,1588254300,291.33,293.27,291.1,292.331,66086,AAPL
9,1588255200,292.335,292.95,291.14,291.435,28846,AAPL
10,1588256100,291.33,292.19,290.37,292.12,23612,AAPL
11,1588257000,292.16,292.28,290.35,290.51,17467,AAPL
12,1588257900,290.65,292.059,290.65,291.52,30012,AAPL
13,1588258800,291.58,292.419,291.58,291.71,8331,AAPL
14,1588259700,291.85,291.85,291.02,291.129,12799,AAPL
15,1588260600,291.135,291.259,290.53,291.23,8098,AAPL
16,1588261500,291.255,291.255,290.33,290.51,14060,AAPL
17,1588262400,290.219,290.369,288.91,289.94,31377,AAPL
18,1588263300,289.95,289.989,289.1,289.47,18412,AAPL
19,1588264200,289.33,289.97,288.79,289.66,18719,AAPL
20,1588265100,289.51,290.62,289.27,290.47,10093,AAPL
21,1588266000,290.32,290.81,289.93,290.72,9121,AAPL
22,1588266900,290.56,290.83,290.18,290.63,11511,AAPL
23,1588267800,290.63,291.15,290.47,290.889,15026,AAPL
24,1588268700,290.85,291.45,290.73,290.935,14341,AAPL
25,1588269600,290.99,291.2,290.4,290.97,16286,AAPL
26,1588270500,290.929,291.22,290.58,291.21,17464,AAPL
27,1588271400,291.17,291.615,290.75,291.45,24950,AAPL
28,1588272300,291.495,291.81,290.709,291.01,33742,AAPL
29,1588273200,291.005,291.75,290.935,291.53,523375,AAPL
30,1588274100,291.55,292.5,291.55,291.9,48880,AAPL
31,1588275000,292.065,292.33,291.07,291.165,46873,AAPL
32,1588275900,291.13,294.49,291.0,293.61,120759,AAPL
33,1588276800,290.94,292.36,290.94,291.98,300,AAPL
34,1588278600,297.34,301.35,287.94,289.35,68650,AAPL
35,1588279500,289.422,291.17,287.68,289.533,13723,AAPL
36,1588280400,287.86,289.736,287.86,288.69,2071,AAPL
37,1588281300,288.5,290.8,288.47,288.47,2538,AAPL
38,1588282200,289.0,289.0,289.0,289.0,100,AAPL
39,1588284000,285.01,285.51,285.01,285.51,784,AAPL
0,1589975100,316.89,316.89,316.89,316.89,200,AAPL
1,1589976000,316.968,316.968,316.968,316.968,400,AAPL
2,1589976900,316.89,316.89,316.89,316.89,200,AAPL
3,1589977800,316.51,316.51,316.51,316.51,200,AAPL
4,1589979600,316.72,316.72,316.72,316.72,400,AAPL
5,1589980500,316.85,316.85,316.8,316.8,622,AAPL
6,1589981400,316.74,318.63,316.26,318.35,152696,AAPL
7,1589982300,318.44,318.99,318.07,318.84,62212,AAPL
8,1589983200,318.88,319.0,318.23,318.75,42062,AAPL
9,1589984100,318.76,318.76,317.895,318.11,32536,AAPL
10,1589985000,317.96,318.59,317.55,318.265,21198,AAPL
11,1589985900,318.185,318.43,318.02,318.42,21982,AAPL
12,1589986800,318.42,319.13,318.35,319.11,27576,AAPL
13,1589987700,318.95,319.495,318.865,319.495,57896,AAPL
14,1589988600,319.45,319.465,318.985,319.14,13290,AAPL
15,1589989500,319.29,319.39,319.09,319.24,11624,AAPL
16,1589990400,319.31,319.4,318.76,318.98,30204,AAPL
17,1589991300,319.075,319.1,317.95,318.385,55450,AAPL
18,1589992200,318.38,318.58,317.52,317.66,16406,AAPL
19,1589993100,317.67,318.62,317.23,318.62,12858,AAPL
20,1589994000,318.69,318.845,318.02,318.23,14364,AAPL
21,1589994900,318.145,318.16,317.46,317.87,16408,AAPL
22,1589995800,317.98,318.54,317.82,318.54,14750,AAPL
23,1589996700,318.42,318.55,318.06,318.11,7388,AAPL
24,1589997600,318.34,318.48,317.64,317.675,20436,AAPL
25,1589998500,317.705,318.11,317.395,317.76,14732,AAPL
26,1589999400,317.739,318.49,317.739,318.49,11450,AAPL
27,1590000300,318.485,318.93,318.325,318.82,15628,AAPL
28,1590001200,318.77,319.18,318.03,318.35,20212,AAPL
29,1590002100,318.49,318.985,318.36,318.92,19548,AAPL
30,1590003000,318.95,319.0,318.51,319.0,33884,AAPL
31,1590003900,319.01,319.3,318.3,319.28,107744,AAPL
32,1590005700,319.29,319.29,319.29,319.29,1582,AAPL
0,1589975100,316.89,316.89,316.89,316.89,200,AAPL
1,1589976000,316.968,316.968,316.968,316.968,400,AAPL
2,1589976900,316.89,316.89,316.89,316.89,200,AAPL
3,1589977800,316.51,316.51,316.51,316.51,200,AAPL
4,1589979600,316.72,316.72,316.72,316.72,400,AAPL
5,1589980500,316.85,316.85,316.8,316.8,622,AAPL
6,1589981400,316.74,318.63,316.26,318.35,152696,AAPL
7,1589982300,318.44,318.99,318.07,318.84,62212,AAPL
8,1589983200,318.88,319.0,318.23,318.75,42062,AAPL
9,1589984100,318.76,318.76,317.895,318.11,32536,AAPL
10,1589985000,317.96,318.59,317.55,318.265,21198,AAPL
11,1589985900,318.185,318.43,318.02,318.42,21982,AAPL
12,1589986800,318.42,319.13,318.35,319.11,27576,AAPL
13,1589987700,318.95,319.495,318.865,319.495,57896,AAPL
14,1589988600,319.45,319.465,318.985,319.14,13290,AAPL
15,1589989500,319.29,319.39,319.09,319.24,11624,AAPL
16,1589990400,319.31,319.4,318.76,318.98,30204,AAPL
17,1589991300,319.075,319.1,317.95,318.385,55450,AAPL
18,1589992200,318.38,318.58,317.52,317.66,16406,AAPL
19,1589993100,317.67,318.62,317.23,318.62,12858,AAPL
20,1589994000,318.69,318.845,318.02,318.23,14364,AAPL
21,1589994900,318.145,318.16,317.46,317.87,16408,AAPL
22,1589995800,317.98,318.54,317.82,318.54,14750,AAPL
